model,rmse,mae,r2
lasso_baseline,0.5487069292286847,0.4403908599639873,0.1144211494640136
elastic_net_baseline,0.5475561406803747,0.4396265012019902,0.118131856455878
random_forest_baseline,0.5169667328338,0.3901718903316074,0.2139113231276562
pca_baseline,0.5976463741571864,0.4733828100038693,-0.0505940212226347
pls_baseline,0.6276993296059384,0.5065808737697249,-0.1589099098068191
comb_baseline,0.559729561575111,0.4470657380834322,0.0784840945187671
lasso_enhanced,0.5448738952089525,0.4310301933408889,0.1308650132814839
elastic_net_enhanced,0.5495018421600406,0.4338921670873526,0.1160381235428961
random_forest_enhanced,0.5002073678487367,0.3781887637023832,0.2675206280942367
pca_enhanced,0.6319314320662844,0.4990620088340868,-0.1690555415739458
pls_enhanced,0.7342195421307887,0.5877332005705569,-0.578145745778853
comb_enhanced,0.5646030642509944,0.4433220406071799,0.066785041574761
xgboost_enhanced,0.5349216311591735,0.3943013457659353,0.1623250078734212
lstm_enhanced,0.7955770680476302,0.6011068000040082,-0.9197161279409444
random_forest_publag2m,0.5007722284193179,0.3819695719714394,0.2658653852649196
random_forest_publag1m,0.4980436044349368,0.3821061632201171,0.2738439420431923
random_forest_publag3m,0.5014078755279812,0.3834291374304572,0.2640004786811354
