,Mean,SD,Min,Median,Max,Skew,Kurt
INF_Sentiment,1.25,4.865099374030495,-8.5,1.5,9.5,-0.28228697938862585,-0.8509274032410694
INF_Duration,0.5195,0.2405690853964508,0.0,0.6,0.85,-0.35834489847335693,-1.4086538623704947
DRV_Demand,6.425,2.400941524073463,1.0,7.0,9.5,-0.78376601318982,-0.6064504839877394
DRV_Supply,7.14,1.6968181750535087,2.0,7.5,9.5,-1.2394647306880278,1.089458046505102
DRV_External,5.88,2.1416032887686383,1.0,6.0,9.5,-0.27216609923778246,-0.8563591517077787
DRV_Monetary,3.945,2.68732058362822,0.5,3.0,9.5,0.6586274001138713,-0.9961329599051498
POL_Tone,-1.19,5.89117641867561,-10.0,-2.75,10.0,0.24011886555197487,-1.323658306468567
POL_Priority,5.855,2.358409625064306,2.0,6.0,10.0,0.1260816632200584,-1.2461743488523143
TXT_Ambiguity,4.515,1.5479784797397456,2.0,4.0,8.0,0.49655473612177875,-0.908569911324713
TXT_Confidence,7.705,0.7524203370698879,5.0,8.0,9.0,-1.1482746199181564,1.5250156725751842
