,mean_abs_shap
Fiscal_Exp_Growth_lag1,0.15351306736668377
Fiscal_Exp_Growth_lag12,0.07997682944331833
Fiscal_Exp_Growth_lag6,0.0508775831672791
Fiscal_Exp_Growth_lag2,0.04527078480343098
Oil_Price_lag2,0.039734701781054364
M2_Growth_lag1,0.03504901787882673
M2_Growth_lag12,0.03090675011566371
M2_Growth_lag6,0.02262278135680645
M2_Growth_lag2,0.018912507288868893
Core_CPI_lag1,0.0166081929132569
EPUCHINA_lag3,0.013572465997428817
Oil_Price_lag1,0.010919825268139793
DRV_Supply_lag6,0.009835052048379539
PMI_Output_Price_lag2,0.009188872777071757
M2_Growth_lag3,0.006721989541301635
Exchange_Rate_lag12,0.0066941744760600904
Core_CPI_lag12,0.006376809386887747
PMI_Output_Price_lag1,0.005745479672641188
Fiscal_Exp_Growth_lag3,0.005287893471806699
Core_CPI_lag2,0.005271412960466187
TXT_Confidence_lag6,0.004321313663702627
POL_Tone_lag12,0.004133763978870684
EPUCHINA_lag12,0.004055357677778265
PMI_Output_Price_lag6,0.003958618485034744
Oil_Price_lag12,0.00389539876835314
Exchange_Rate_lag1,0.003332103623712422
PPI_lag3,0.003330946644246432
EPUCHINA_lag2,0.0032813129130080825
Exchange_Rate_lag3,0.0031293501250659115
TXT_Confidence_lag3,0.0030921235811793607
DRV_Demand_lag1,0.003026830805438422
Oil_Price_lag6,0.0029462833680842125
PPI_lag12,0.002866202188614999
TXT_Ambiguity_lag3,0.0027748726784909126
Oil_Price_lag3,0.00277173384452011
Core_CPI_lag3,0.0026697603102594156
PMI_Output_Price_lag12,0.0026567206962702723
PMI_Output_Price_lag3,0.002646789567427084
TXT_Confidence_lag1,0.0026379815652633194
EPUCHINA_lag1,0.002596334203607362
DRV_Demand_lag12,0.002352360204019998
DRV_External_lag12,0.0023311399825428863
DRV_Demand_lag6,0.0021523328593486533
Exchange_Rate_lag2,0.0021424410254296
POL_Priority_lag3,0.00208817276948801
DRV_Monetary_lag6,0.0020733535770563645
Core_CPI_lag6,0.0020316209810143063
DRV_Demand_lag3,0.0019771718549099295
EPUCHINA_lag6,0.0019130268673550554
DRV_Supply_lag12,0.0018954296871566412
INF_Duration_lag6,0.0018475394636834088
TXT_Ambiguity_lag6,0.0017875203717450702
POL_Priority_lag1,0.00174921309966681
DRV_External_lag1,0.0016944720740534977
TXT_Confidence_lag2,0.0016812613160785955
DRV_External_lag3,0.001666561945197475
DRV_External_lag6,0.0016496621097864983
PPI_lag1,0.0015327837969098955
POL_Tone_lag3,0.0014693317173235748
Exchange_Rate_lag6,0.0014448492388438804
PPI_lag2,0.0014184594304722986
DRV_Supply_lag3,0.0014007146240775164
DRV_Monetary_lag2,0.0013753618035828325
INF_Duration_lag12,0.0013680641287738028
POL_Tone_lag6,0.0013102263996142443
INF_Sentiment_lag3,0.0012824671982945859
DRV_Supply_lag1,0.0012392419303893286
DRV_Monetary_lag3,0.001228344664558024
PPI_lag6,0.001206289088122756
POL_Priority_lag6,0.001099477946398641
TXT_Confidence_lag12,0.001073368496837919
DRV_Supply_lag2,0.0010732183369288196
DRV_Demand_lag2,0.0010316217039221581
DRV_Monetary_lag12,0.0010022238222130585
POL_Tone_lag2,0.0009826042014139376
TXT_Ambiguity_lag12,0.0009553608954712703
POL_Priority_lag2,0.0009223855707063685
INF_Duration_lag2,0.0008751787291840934
POL_Tone_lag1,0.0008086842406763054
INF_Duration_lag3,0.0007693697357849235
INF_Sentiment_lag6,0.000749657083016637
INF_Sentiment_lag1,0.0007288304227749547
INF_Duration_lag1,0.000720532031204317
TXT_Ambiguity_lag1,0.0006705587299201382
INF_Sentiment_lag2,0.0006671518576019149
POL_Priority_lag12,0.0006582980286577044
DRV_External_lag2,0.0006385013406316172
INF_Sentiment_lag12,0.0006146228122166784
TXT_Ambiguity_lag2,0.0005501344383487564
DRV_Monetary_lag1,0.0005299353313441476
